DistOd;TypeObject;Object_Code;ObjectName;Object_Code_T;Marker;Length;Width;Depth_min;Depth_max;OrientTD;OrientBD;MPoint_Orient;MPoint_Dist;Type_Def;DistML;DistMR;DistStL;DistStR;LinkStL;LinkStR;LinkML;LinkMR;Comments;Latitude;Longtitude;Altitude
83077700;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;11,54;5,54;;;;;;;;;;;;;;;
83088830;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83088880;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;12,06;6,05;;;;;;;;;;;;;;;
83100200;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83100250;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;9,24;3,23;;;;;;;;;;;;;;;
83111170;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83111220;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,54;;;;;;;;;;;;;;;;
83122190;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83122240;4;0;;ѕродольный шов;Ћќ∆№;;;;;2,36;;;;;;;;;;;;;;;;
83133560;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83133610;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,54;;;;;;;;;;;;;;;;
83145130;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83145180;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,23;;;;;;;;;;;;;;;;
83156640;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83156690;3;0;;»зменение толщины стенки трубы;Ћќ∆№;;;;157;;;;;;;;;;;;;;;;;
83156740;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;12,30;6,30;;;;;;;;;;;;;;;
83168000;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83168050;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;11,11;5,12;;;;;;;;;;;;;;;
83179200;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83179250;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;11,24;5,24;;;;;;;;;;;;;;;
83190240;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83190290;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;9,00;3,00;;;;;;;;;;;;;;;
83201550;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83201600;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;10,24;4,24;;;;;;;;;;;;;;;
83212970;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83213020;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,30;;;;;;;;;;;;;;;;
83224410;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83224430;2;7;;«аводской дефект;Ћќ∆№;65;840; 0,0 ; 0,0 ;12,06;2,23;;;0;;;;;;;;;Ёквивалент потери металла 20%.;;;
83224460;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,05;;;;;;;;;;;;;;;;
83235830;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83235880;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,11;;;;;;;;;;;;;;;;
83247020;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83247070;4;0;;ѕродольный шов;Ћќ∆№;;;;;8,24;;;;;;;;;;;;;;;;
83258460;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83258510;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,18;;;;;;;;;;;;;;;;
83269880;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83269930;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,05;;;;;;;;;;;;;;;;
83279170;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83279220;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,54;;;;;;;;;;;;;;;;
83290500;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83290550;4;0;;ѕродольный шов;Ћќ∆№;;;;;9,05;;;;;;;;;;;;;;;;
83301930;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83301980;4;0;;ѕродольный шов;Ћќ∆№;;;;;6,12;;;;;;;;;;;;;;;;
83313240;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83313290;4;0;;ѕродольный шов;Ћќ∆№;;;;;6,42;;;;;;;;;;;;;;;;
83324710;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83324760;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,06;;;;;;;;;;;;;;;;
83336020;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83336070;4;0;;ѕродольный шов;Ћќ∆№;;;;;2,12;;;;;;;;;;;;;;;;
83347300;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83347350;4;0;;ѕродольный шов;Ћќ∆№;;;;;2,36;;;;;;;;;;;;;;;;
83358620;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83358670;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,30;;;;;;;;;;;;;;;;
83369670;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83369720;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,30;;;;;;;;;;;;;;;;
83380890;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83380940;4;0;;ѕродольный шов;Ћќ∆№;;;;;9,00;;;;;;;;;;;;;;;;
83392430;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83392480;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,47;;;;;;;;;;;;;;;;
83403870;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83403920;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,17;;;;;;;;;;;;;;;;
83415370;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83415420;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,12;;;;;;;;;;;;;;;;
83427010;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83427060;4;0;;ѕродольный шов;Ћќ∆№;;;;;9,00;;;;;;;;;;;;;;;;
83438470;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83438520;4;0;;ѕродольный шов;Ћќ∆№;;;;;2,36;;;;;;;;;;;;;;;;
83449710;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83449760;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,30;;;;;;;;;;;;;;;;
83461170;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83461220;4;0;;ѕродольный шов;Ћќ∆№;;;;;8,18;;;;;;;;;;;;;;;;
83472040;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83472090;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,42;;;;;;;;;;;;;;;;
83483370;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83483420;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,35;;;;;;;;;;;;;;;;
83494610;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83494660;4;0;;ѕродольный шов;Ћќ∆№;;;;;8,41;;;;;;;;;;;;;;;;
83506170;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83506220;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,12;;;;;;;;;;;;;;;;
83517320;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83517370;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,54;;;;;;;;;;;;;;;;
83528960;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83529010;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,30;;;;;;;;;;;;;;;;
83540100;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83540150;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,00;;;;;;;;;;;;;;;;
83551750;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83551800;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,48;;;;;;;;;;;;;;;;
83563290;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83563340;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,48;;;;;;;;;;;;;;;;
83574280;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83574330;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,36;;;;;;;;;;;;;;;;
83585860;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83585910;4;0;;ѕродольный шов;Ћќ∆№;;;;;8,54;;;;;;;;;;;;;;;;
83597260;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83597310;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,41;;;;;;;;;;;;;;;;
83608870;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83608920;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,12;;;;;;;;;;;;;;;;
83620000;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83620050;4;0;;ѕродольный шов;Ћќ∆№;;;;;12,42;;;;;;;;;;;;;;;;
83631320;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83631370;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,05;;;;;;;;;;;;;;;;
83642570;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83642620;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,42;;;;;;;;;;;;;;;;
83653690;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83653740;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,53;;;;;;;;;;;;;;;;
83665260;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83665310;4;0;;ѕродольный шов;Ћќ∆№;;;;;4,00;;;;;;;;;;;;;;;;
83676830;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83676880;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,11;;;;;;;;;;;;;;;;
83688060;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83688110;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,18;;;;;;;;;;;;;;;;
83699510;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83699560;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,48;;;;;;;;;;;;;;;;
83710760;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83710810;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,41;;;;;;;;;;;;;;;;
83722430;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83722480;4;0;;ѕродольный шов;Ћќ∆№;;;;;6,35;;;;;;;;;;;;;;;;
83733680;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83733730;4;0;;ѕродольный шов;Ћќ∆№;;;;;6,24;;;;;;;;;;;;;;;;
83745250;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83745300;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,41;;;;;;;;;;;;;;;;
83756890;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83756940;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,54;;;;;;;;;;;;;;;;
83768100;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83768150;4;0;;ѕродольный шов;Ћќ∆№;;;;;1,42;;;;;;;;;;;;;;;;
83779660;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83779710;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,00;;;;;;;;;;;;;;;;
83791090;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83791140;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,48;;;;;;;;;;;;;;;;
83802240;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83802290;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;11,24;5,24;;;;;;;;;;;;;;;
83813580;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83813630;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;2,17;8,18;;;;;;;;;;;;;;;
83824980;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83825030;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;9,41;3,42;;;;;;;;;;;;;;;
83836100;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83836150;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;10,35;4,35;;;;;;;;;;;;;;;
83847690;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83847740;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;1,36;7,35;;;;;;;;;;;;;;;
83859230;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83859280;4;1;;ƒвойной прод. шов;Ћќ∆№;;;;;10,11;4,12;;;;;;;;;;;;;;;
83868830;2;7;;«аводской дефект;Ћќ∆№;70;210; 0,0 ; 0,0 ;10,35;11,11;;;0;;;;;;;;;Ёквивалент потери металла 12%.;;;
83870770;2;5;;јномали€ кольцевого шва GWAN;Ћќ∆№;0;85; 0,0 ; 0,0 ;6,42;6,54;;;0;;;;;;;;;;;;
83870780;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83870830;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,48;;;;;;;;;;;;;;;;
83878270;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83878320;4;0;;ѕродольный шов;Ћќ∆№;;;;;9,05;;;;;;;;;;;;;;;;
83889220;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83889270;4;0;;ѕродольный шов;Ћќ∆№;;;;;4,54;;;;;;;;;;;;;;;;
83900450;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83900500;4;0;;ѕродольный шов;Ћќ∆№;;;;;4,12;;;;;;;;;;;;;;;;
83912120;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83912170;4;0;;ѕродольный шов;Ћќ∆№;;;;;3,12;;;;;;;;;;;;;;;;
83923510;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83923560;4;0;;ѕродольный шов;Ћќ∆№;;;;;11,24;;;;;;;;;;;;;;;;
83934740;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83934790;4;0;;ѕродольный шов;Ћќ∆№;;;;;2,30;;;;;;;;;;;;;;;;
83946190;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83946240;4;0;;ѕродольный шов;Ћќ∆№;;;;;8,41;;;;;;;;;;;;;;;;
83957120;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83957170;4;0;;ѕродольный шов;Ћќ∆№;;;;;7,17;;;;;;;;;;;;;;;;
83968660;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83968710;4;0;;ѕродольный шов;Ћќ∆№;;;;;8,41;;;;;;;;;;;;;;;;
83980230;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83980280;4;0;;ѕродольный шов;Ћќ∆№;;;;;5,12;;;;;;;;;;;;;;;;
83991560;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
83991610;4;0;;ѕродольный шов;Ћќ∆№;;;;;9,48;;;;;;;;;;;;;;;;
84002900;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84002950;4;0;;ѕродольный шов;Ћќ∆№;;;;;9,18;;;;;;;;;;;;;;;;
84014310;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84014360;4;0;;ѕродольный шов;Ћќ∆№;;;;;8,18;;;;;;;;;;;;;;;;
84025930;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84025980;4;0;;ѕродольный шов;Ћќ∆№;;;;;10,18;;;;;;;;;;;;;;;;
84037230;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
84037280;4;0;;ѕродольный шов;Ћќ∆№;;;;;2,23;;;;;;;;;;;;;;;;
84048740;0;0;;Ўов;Ћќ∆№;;;;;;;;;;;;;;;;;;;;;
